,0,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
94,esperance,Esperance,TT,76.24,10.24,-61.45,83.0,20.0,6.93
95,atuona,Atuona,PF,82.59,-9.8,-139.03,99.0,44.0,16.15
96,mitsamiouli,Mitsamiouli,KM,83.22,-11.38,43.28,95.0,92.0,5.19
97,amderma,,,,,,,,
98,luderitz,Luderitz,NA,58.47,-26.65,15.16,89.0,0.0,13.02
99,katsuura,Katsuura,JP,53.55,33.93,134.5,81.0,40.0,2.24
100,batagay-alyta,Batagay-Alyta,RU,-3.55,67.8,130.41,70.0,0.0,2.95
101,linxia,Linxia,CN,39.75,35.6,103.21,50.0,8.0,3.62
102,tiksi,Tiksi,RU,-11.83,71.64,128.87,75.0,0.0,5.75
103,port alfred,Port Alfred,ZA,67.5,-33.59,26.89,95.0,76.0,5.01
104,samalaeulu,,,,,,,,
105,lompoc,Lompoc,US,57.18,34.64,-120.46,55.0,75.0,23.04
106,chokurdakh,Chokurdakh,RU,-16.51,70.62,147.9,48.0,12.0,7.65
107,nizhneyansk,,,,,,,,
108,surt,Surt,LY,62.07,31.21,16.59,79.0,0.0,13.24
109,ponta do sol,Ponta do Sol,BR,68.64,-20.63,-46.0,87.0,24.0,2.95
110,akonolinga,Akonolinga,CM,70.44,3.77,12.24,88.0,8.0,2.84
111,saskylakh,Saskylakh,RU,1.77,71.97,114.09,68.0,76.0,5.64
112,west wendover,West Wendover,US,53.6,40.74,-114.07,25.0,1.0,10.29
113,hendijan,,,,,,,,
114,sinnamary,Sinnamary,GF,78.72,5.38,-52.96,99.0,92.0,10.78
115,antofagasta,Antofagasta,CL,62.6,-23.65,-70.4,82.0,0.0,5.82
116,jiazi,Jiazi,CN,77.0,19.61,110.49,83.0,0.0,11.18
117,gizo,Gizo,IL,55.53,31.8,34.94,87.0,75.0,5.82
118,vilhena,Vilhena,BR,74.31,-12.74,-60.15,90.0,36.0,1.61
119,fortuna,Fortuna,ES,49.89,38.18,-1.13,62.0,20.0,3.36
120,barentsburg,,,,,,,,
121,ngukurr,,,,,,,,
122,graham,Graham,US,40.93,36.07,-79.4,36.0,1.0,6.42
123,yining,Yining,CN,72.06,29.04,114.56,79.0,88.0,11.56
124,arraial do cabo,Arraial do Cabo,BR,80.97,-22.97,-42.02,92.0,44.0,10.78
125,plettenberg bay,Plettenberg Bay,ZA,68.64,-34.05,23.37,100.0,80.0,17.27
126,belushya guba,,,,,,,,
127,madison,Madison,US,38.79,43.07,-89.38,52.0,1.0,3.36
128,ekhabi,Ekhabi,RU,6.54,53.51,142.97,100.0,8.0,4.74
129,kodiak,Kodiak,US,45.0,39.95,-94.76,100.0,90.0,9.17
130,kathmandu,Kathmandu,NP,48.2,27.71,85.32,100.0,20.0,2.24
131,teseney,Teseney,ER,62.97,15.11,36.66,66.0,0.0,3.74
132,geraldton,Geraldton,CA,33.8,49.72,-86.95,69.0,90.0,10.29
133,puerto ayora,Puerto Ayora,EC,77.0,-0.74,-90.35,92.0,0.0,4.0
134,cidreira,Cidreira,BR,66.12,-30.17,-50.22,96.0,80.0,4.52
135,itagiba,Itagiba,BR,66.7,-29.52,-50.57,98.0,32.0,2.39
136,redmond,Redmond,US,74.97,47.67,-122.12,16.0,1.0,12.75
137,broome,Broome,GB,47.01,52.47,1.45,87.0,0.0,8.05
138,ornskoldsvik,Ornskoldsvik,SE,13.01,63.29,18.72,92.0,90.0,1.12
139,seoul,Seoul,KR,49.35,37.57,126.98,76.0,40.0,3.36
140,carnarvon,Carnarvon,ZA,53.07,-30.97,22.13,67.0,8.0,7.43
141,itoman,Itoman,JP,71.4,26.12,127.67,60.0,20.0,8.05
142,wahiawa,Wahiawa,US,76.59,21.5,-158.02,57.0,90.0,5.82
143,naenwa,,,,,,,,
144,poum,Poum,MK,32.64,41.28,20.71,91.0,0.0,1.83
145,lemesos,,,,,,,,
146,acapulco,Acapulco,MX,80.6,16.86,-99.88,69.0,5.0,5.82
147,samusu,,,,,,,,
148,nikolskoye,Nikolskoye,RU,34.66,59.7,30.79,93.0,90.0,4.47
149,andenes,,,,,,,,
150,nanortalik,Nanortalik,GL,26.61,60.14,-45.24,100.0,76.0,24.76
151,punta arenas,Punta Arenas,CL,50.0,-53.16,-70.91,71.0,75.0,14.99
152,nhulunbuy,Nhulunbuy,AU,84.2,-12.18,136.78,70.0,75.0,4.7
153,maniwaki,Maniwaki,CA,19.14,46.38,-75.98,76.0,12.0,4.63
154,luzhany,Luzhany,UA,39.93,48.36,25.77,91.0,92.0,6.08
155,ust-tsilma,Ust-Tsilma,RU,30.66,65.44,52.15,94.0,88.0,5.08
156,saleaula,,,,,,,,
157,klaebu,Klaebu,NO,38.08,63.3,10.48,86.0,90.0,11.41
158,konnur,Konnur,IN,78.99,15.86,75.5,35.0,0.0,5.3
159,pevek,Pevek,RU,-8.23,69.7,170.27,79.0,44.0,27.34
160,zyryanka,Zyryanka,RU,-1.66,65.73,150.89,58.0,0.0,3.18
161,jacmel,Jacmel,HT,77.19,18.24,-72.54,100.0,0.0,8.88
162,vao,Vao,EE,31.65,59.1,26.19,94.0,80.0,8.21
163,leningradskiy,Leningradskiy,RU,-4.18,69.38,178.42,78.0,68.0,35.84
164,altay,Altay,CN,15.99,47.83,88.13,71.0,48.0,1.28
165,tual,Tual,ID,84.75,-5.67,132.75,98.0,8.0,9.66
166,beyneu,Beyneu,KZ,39.57,45.32,55.19,91.0,68.0,1.61
167,vardo,Vardo,US,36.14,39.62,-77.74,64.0,1.0,2.28
168,muncie,Muncie,US,38.12,40.19,-85.39,69.0,1.0,3.96
169,grand river south east,,,,,,,,
170,sentyabrskiy,,,,,,,,
171,aykhal,Aykhal,RU,6.45,65.95,111.51,75.0,56.0,3.96
172,narsaq,Narsaq,GL,6.8,60.91,-46.05,46.0,56.0,6.93
173,caravelas,Caravelas,BR,82.32,-17.73,-39.27,100.0,48.0,18.28
174,general pico,General Pico,AR,52.35,-35.66,-63.75,53.0,0.0,6.42
175,kavieng,Kavieng,PG,84.21,-2.57,150.8,100.0,0.0,3.96
176,qaanaaq,Qaanaaq,GL,-33.97,77.48,-69.36,58.0,0.0,7.87
177,smithers,Smithers,CA,57.2,54.78,-127.17,35.0,5.0,2.24
178,butaritari,Butaritari,KI,76.74,3.07,172.79,100.0,92.0,11.01
179,chicama,Chicama,PE,71.6,-7.84,-79.15,83.0,40.0,10.29
180,uige,Uige,AO,71.34,-7.61,15.06,93.0,92.0,2.39
181,tremedal,Tremedal,BR,80.6,-14.98,-41.41,57.0,75.0,9.17
182,colac,Colac,AU,66.15,-38.34,143.59,92.0,80.0,2.84
183,kitui,Kitui,KE,64.86,-1.37,38.02,95.0,76.0,2.73
184,bethel,Bethel,US,18.19,60.79,-161.76,72.0,1.0,16.11
185,san patricio,San Patricio,PY,67.92,-26.98,-56.83,87.0,8.0,3.74
186,chengmai,,,,,,,,
187,marawi,Marawi,PH,80.01,8.0,124.29,85.0,64.0,4.0
188,charters towers,Charters Towers,AU,82.95,-20.07,146.27,83.0,8.0,9.55
189,port-gentil,Port-Gentil,GA,80.79,-0.72,8.78,100.0,68.0,6.64
190,hualmay,Hualmay,PE,68.19,-11.1,-77.61,89.0,12.0,3.4
191,padang,Padang,ID,84.03,-0.92,100.36,100.0,0.0,3.96
192,norman wells,Norman Wells,CA,57.2,65.28,-126.83,30.0,75.0,5.82
193,wundanyi,Wundanyi,KE,62.34,-3.4,38.37,92.0,0.0,1.72
194,pousat,,,,,,,,
195,labuhan,Labuhan,ID,87.9,-2.54,115.51,68.0,0.0,3.06
196,asyut,Asyut,EG,53.6,27.18,31.19,66.0,0.0,11.41
197,emerald,Emerald,AU,92.25,-23.53,148.16,41.0,40.0,4.7
198,marsh harbour,Marsh Harbour,BS,69.45,26.54,-77.06,100.0,92.0,7.09
199,vaitupu,,,,,,,,
200,kalmunai,Kalmunai,LK,80.07,7.42,81.82,84.0,0.0,2.73
201,new norfolk,New Norfolk,AU,66.43,-42.78,147.06,82.0,75.0,6.93
202,tsihombe,,,,,,,,
203,khani,Khani,GE,39.2,41.96,42.96,86.0,0.0,4.7
204,atagay,Atagay,RU,26.7,55.1,99.39,73.0,64.0,3.96
205,nha trang,Nha Trang,VN,84.2,12.24,109.19,66.0,20.0,4.7
206,lewiston,Lewiston,US,51.1,46.42,-117.02,41.0,1.0,4.7
207,mahebourg,Mahebourg,MU,79.14,-20.41,57.7,83.0,75.0,9.17
208,palmas bellas,Palmas Bellas,PA,79.72,9.23,-80.09,78.0,20.0,14.99
209,asekeyevo,Asekeyevo,RU,12.84,53.57,52.8,65.0,12.0,2.73
210,bathsheba,Bathsheba,BB,78.8,13.22,-59.52,65.0,20.0,17.22
211,aksarka,Aksarka,RU,28.41,66.56,67.8,95.0,92.0,13.47
212,mehran,Mehran,IR,39.2,33.12,46.17,75.0,0.0,2.24
213,vestmannaeyjar,Vestmannaeyjar,IS,38.49,63.44,-20.27,84.0,76.0,30.91
214,lebu,Lebu,ET,39.75,8.96,38.73,78.0,0.0,2.84
215,buin,Buin,CL,69.69,-33.73,-70.74,74.0,0.0,10.29
216,beringovskiy,Beringovskiy,RU,0.69,63.05,179.32,100.0,0.0,3.74
217,lagoa,Lagoa,PT,57.72,37.14,-8.45,41.0,0.0,9.17
218,maniitsoq,Maniitsoq,GL,-5.35,65.42,-52.9,100.0,24.0,8.55
219,acajutla,Acajutla,SV,73.99,13.59,-89.83,81.0,0.0,1.99
220,pita,Pita,GN,66.84,11.06,-12.4,68.0,0.0,2.28
221,ahipara,Ahipara,NZ,74.58,-35.17,173.16,66.0,64.0,7.43
222,altamira,Altamira,BR,78.72,-3.2,-52.21,84.0,0.0,4.07
223,yarim,Yarim,YE,43.89,14.3,44.38,69.0,0.0,2.62
224,madang,Madang,PG,83.4,-5.21,145.81,85.0,20.0,3.4
225,ostrow wielkopolski,Ostrow Wielkopolski,PL,29.32,51.66,17.81,85.0,92.0,1.99
226,puerto escondido,Puerto Escondido,MX,82.4,15.86,-97.07,69.0,75.0,6.2
227,severnyy-kospashskiy,Severnyy-Kospashskiy,RU,19.0,59.09,57.8,36.0,36.0,1.01
228,okhotsk,Okhotsk,RU,15.45,59.36,143.24,90.0,0.0,4.63
229,flinders,Flinders,AU,77.0,-34.58,150.85,65.0,75.0,9.17
230,lamu,Lamu,ID,88.17,0.57,122.3,64.0,0.0,2.39
231,nantucket,Nantucket,US,32.22,41.28,-70.1,79.0,1.0,6.87
232,belapatfalva,Belapatfalva,HU,30.99,48.05,20.37,33.0,0.0,5.41
233,san andres,San Andres,PH,81.96,13.32,122.68,95.0,8.0,12.8
234,chumikan,Chumikan,RU,17.25,54.72,135.31,54.0,0.0,3.74
235,nyurba,Nyurba,RU,6.36,63.29,118.35,55.0,48.0,3.74
236,rafraf,Rafraf,TN,48.24,37.19,10.18,81.0,40.0,2.24
237,mala danylivka,Mala Danylivka,UA,39.2,50.06,36.17,80.0,0.0,6.71
238,havre-saint-pierre,Havre-Saint-Pierre,CA,15.8,50.23,-63.6,66.0,40.0,10.29
239,chuy,Chuy,UY,65.76,-33.69,-53.46,81.0,76.0,14.7
240,loandjili,Loandjili,CG,77.0,-4.77,11.87,94.0,40.0,4.7
241,placido de castro,Placido de Castro,BR,77.1,-10.34,-67.19,92.0,0.0,2.28
242,rosa zarate,Rosa Zarate,EC,71.7,0.33,-79.47,96.0,68.0,1.95
243,halalo,,,,,,,,
244,grand gaube,Grand Gaube,MU,79.41,-20.01,57.66,83.0,75.0,9.17
245,hilo,Hilo,US,71.33,19.71,-155.08,53.0,90.0,9.17
246,khonuu,,,,,,,,
247,fort nelson,Fort Nelson,CA,62.6,58.81,-122.69,20.0,20.0,2.17
248,sioux lookout,Sioux Lookout,CA,34.12,50.1,-91.92,93.0,90.0,8.05
249,madawaska,Madawaska,CA,15.55,47.36,-68.32,34.0,1.0,8.05
250,port blair,Port Blair,IN,85.2,11.67,92.75,96.0,0.0,2.95
251,sabang,Sabang,PH,82.5,13.72,123.58,78.0,76.0,12.68
252,saryg-sep,Saryg-Sep,RU,18.6,51.49,95.55,66.0,48.0,2.95
253,hinche,Hinche,HT,71.25,19.14,-72.01,77.0,68.0,3.18
254,ajdabiya,Ajdabiya,LY,60.09,30.75,20.22,38.0,20.0,10.45
255,krasnoselkup,,,,,,,,
256,champerico,Champerico,MX,71.6,16.38,-93.6,68.0,5.0,16.11
257,pavelets,Pavelets,RU,35.01,53.79,39.25,100.0,92.0,6.64
258,lalmohan,Lalmohan,BD,81.33,22.34,90.74,82.0,0.0,4.74
259,asenovgrad,Asenovgrad,BG,47.25,42.01,24.88,100.0,75.0,1.83
260,chapais,Chapais,CA,12.2,49.78,-74.86,51.0,20.0,5.82
261,vila franca do campo,Vila Franca do Campo,PT,54.3,37.72,-25.43,81.0,75.0,4.7
262,karratha,Karratha,AU,100.14,-20.74,116.85,30.0,0.0,4.63
263,marcona,,,,,,,,
264,kassala,Kassala,SD,59.1,15.45,36.38,83.0,0.0,2.62
265,scottsburgh,,,,,,,,
266,aswan,Aswan,EG,54.87,24.09,32.9,65.0,44.0,5.53
267,moba,Moba,CD,68.37,-7.04,29.77,96.0,48.0,0.72
268,ust-nera,Ust-Nera,RU,-3.01,64.57,143.24,65.0,0.0,2.62
269,mount gambier,Mount Gambier,AU,68.0,-37.83,140.78,77.0,90.0,9.17
270,kismayo,,,,,,,,
271,jacareacanga,Jacareacanga,BR,77.64,-6.22,-57.76,89.0,32.0,2.95
272,high level,High Level,CA,62.6,58.52,-117.13,20.0,40.0,3.36
273,pedasi,Pedasi,PA,77.64,7.53,-80.03,89.0,12.0,13.8
274,san luis,San Luis,AR,51.54,-33.3,-66.34,27.0,0.0,7.65
275,chenzhou,Chenzhou,CN,78.45,25.81,113.03,74.0,0.0,17.6
276,bitkine,Bitkine,TD,66.12,11.98,18.21,27.0,0.0,6.2
277,bowen,Bowen,AU,87.98,-20.01,148.25,66.0,40.0,11.41
278,husavik,Husavik,CA,37.0,50.56,-96.99,80.0,0.0,7.0
279,havelock,Havelock,US,47.7,34.88,-76.9,61.0,90.0,13.87
280,quelimane,Quelimane,MZ,72.96,-17.88,36.89,97.0,68.0,3.4
281,cristalina,Cristalina,BR,72.24,-16.77,-47.61,87.0,0.0,2.84
282,vertou,Vertou,FR,40.5,47.17,-1.47,93.0,32.0,2.24
283,ixtapa,Ixtapa,MX,75.11,20.71,-105.21,78.0,20.0,8.05
284,namibe,Namibe,AO,75.39,-15.19,12.15,100.0,12.0,10.56
285,portland,Portland,US,64.4,45.52,-122.67,39.0,75.0,18.34
286,tarko-sale,Tarko-Sale,RU,18.0,64.92,77.78,88.0,68.0,1.99
287,maracaju,Maracaju,BR,73.5,-21.61,-55.17,91.0,8.0,4.18
288,tromso,Tromso,NO,33.53,69.65,18.96,55.0,0.0,40.26
289,awbari,Awbari,LY,55.77,26.59,12.77,28.0,12.0,6.08
290,broken hill,Broken Hill,AU,89.6,-31.97,141.45,15.0,0.0,8.05
291,kaitangata,Kaitangata,NZ,67.74,-46.28,169.85,68.0,0.0,8.77
292,rome,Rome,IT,45.03,41.89,12.48,70.0,0.0,8.05
293,praia,Praia,BR,75.94,-20.25,-43.81,69.0,40.0,2.73
294,richards bay,Richards Bay,ZA,71.7,-28.77,32.06,95.0,0.0,6.53
295,dakar,Dakar,SN,69.8,14.69,-17.45,73.0,0.0,16.11
296,fiumicino,Fiumicino,IT,44.92,41.77,12.23,70.0,0.0,8.05
297,monroe,Monroe,US,37.96,41.91,-83.4,64.0,1.0,5.82
298,homer,Homer,US,36.52,59.64,-151.54,60.0,1.0,8.05
299,gambela,Gambela,ET,67.02,8.25,34.59,74.0,80.0,3.62
300,haines junction,Haines Junction,CA,36.42,60.75,-137.51,64.0,0.0,3.29
301,dingle,Dingle,PH,87.81,11.0,122.67,53.0,8.0,15.37
302,varkkallai,Varkkallai,IN,82.4,8.73,76.71,78.0,20.0,5.82
303,dagestanskiye ogni,Dagestanskiye Ogni,RU,33.81,42.12,48.19,96.0,92.0,2.39
304,areia branca,Areia Branca,BR,84.2,-10.76,-37.31,74.0,40.0,13.87
305,stornoway,,,,,,,,
306,sistranda,Sistranda,NO,41.9,63.73,8.83,81.0,75.0,20.8
307,yangcun,Yangcun,CN,66.99,29.98,118.17,93.0,92.0,11.9
308,moranbah,Moranbah,AU,90.96,-22.0,148.04,53.0,0.0,5.19
309,lipari,Lipari,IT,55.67,38.47,14.95,82.0,90.0,2.24
310,shingu,Shingu,JP,59.0,33.72,135.99,58.0,0.0,4.7
311,mercedes,Mercedes,UY,60.45,-33.25,-58.03,92.0,76.0,9.89
312,urumqi,,,,,,,,
313,inongo,Inongo,CD,75.12,-1.93,18.29,95.0,48.0,1.61
314,lavrentiya,Lavrentiya,RU,3.75,65.58,-170.99,99.0,0.0,14.7
315,laguna,Laguna,MX,78.8,27.52,-110.01,41.0,40.0,5.82
316,te anau,Te Anau,NZ,70.44,-45.41,167.72,64.0,20.0,2.95
317,udachnyy,Udachnyy,RU,9.24,66.42,112.4,67.0,64.0,3.29
318,georgetown,Georgetown,GY,77.83,6.8,-58.16,83.0,20.0,13.87
319,isfana,Isfana,KG,55.4,39.84,69.53,58.0,90.0,6.71
320,bulungu,Bulungu,CD,70.08,-4.54,18.6,96.0,80.0,5.64
321,parkes,Parkes,AU,91.0,-33.14,148.18,31.0,20.0,1.99
322,zunyi,Zunyi,CN,74.85,27.73,106.92,46.0,0.0,7.65
323,salair,Salair,RU,22.38,54.23,85.8,81.0,64.0,2.73
324,saryshagan,,,,,,,,
325,jabinyanah,Jabinyanah,TN,51.9,35.03,10.91,76.0,92.0,18.05
326,kemijarvi,,,,,,,,
327,port hedland,Port Hedland,AU,96.8,-20.31,118.58,37.0,76.0,8.05
328,iki-burul,Iki-Burul,RU,28.13,45.82,44.65,92.0,0.0,11.18
329,severo-kurilsk,Severo-Kurilsk,RU,26.34,50.68,156.12,100.0,44.0,25.32
330,galveston,Galveston,US,37.36,40.58,-86.19,74.0,1.0,6.93
331,general roca,General Roca,AR,50.0,-39.03,-67.58,71.0,0.0,6.08
332,petrolandia,,,,,,,,
333,cerea,Cerea,IT,42.31,45.19,11.21,66.0,20.0,4.7
334,elizabeth city,Elizabeth City,US,41.45,36.3,-76.22,49.0,90.0,12.75
335,tucuman,Tucuman,PE,54.42,-17.17,-70.89,80.0,8.0,0.49
336,umm lajj,Umm Lajj,SA,60.0,25.02,37.27,100.0,32.0,6.2
337,stephenville,Stephenville,US,59.68,32.22,-98.2,39.0,1.0,6.93
338,lorut,Lorut,AM,26.88,40.94,44.77,89.0,76.0,1.83
339,sisimiut,Sisimiut,GL,-32.71,66.94,-53.67,0.0,0.0,1.95
340,chitral,Chitral,PK,16.35,35.85,71.79,88.0,36.0,1.39
341,clyde river,Clyde River,CA,-16.61,70.47,-68.59,68.0,90.0,18.34
342,evensk,Evensk,RU,8.25,61.92,159.24,100.0,8.0,14.81
343,monrovia,Monrovia,LR,75.2,6.33,-10.8,94.0,75.0,3.36
344,prince rupert,Prince Rupert,CA,62.6,54.32,-130.32,82.0,1.0,4.7
345,ribeira grande,Ribeira Grande,PT,59.73,38.52,-28.7,98.0,64.0,13.24
346,torbay,Torbay,CA,23.99,47.66,-52.73,73.0,90.0,12.75
347,andselv,,,,,,,,
348,port lincoln,Port Lincoln,AU,69.27,-34.72,135.86,86.0,0.0,7.54
349,necochea,Necochea,AR,50.92,-38.55,-58.74,85.0,36.0,10.78
350,grindavik,Grindavik,IS,32.85,63.84,-22.43,92.0,75.0,40.26
351,bonavista,Bonavista,CA,25.0,48.65,-53.11,63.0,64.0,4.0
352,makakilo city,Makakilo City,US,76.57,21.35,-158.09,57.0,90.0,10.29
353,camacha,Camacha,PT,60.8,33.08,-16.33,72.0,40.0,13.87
354,salym,Salym,RU,19.5,60.06,71.48,90.0,12.0,7.2
355,puerto cabezas,Puerto Cabezas,NI,80.25,14.04,-83.39,90.0,0.0,10.33
356,visnes,Visnes,NO,44.15,59.36,5.22,93.0,92.0,12.75
357,araouane,Araouane,ML,57.84,18.9,-3.53,19.0,0.0,4.74
358,gamba,Gamba,CN,8.97,28.28,88.52,89.0,0.0,2.39
359,ostrovnoy,Ostrovnoy,RU,29.22,68.05,39.51,95.0,88.0,16.26
360,waipawa,Waipawa,NZ,70.0,-39.94,176.59,63.0,80.0,4.0
